State,total,inclusive,inclusivity_rate
NH,28,4,0.143
AZ,61,7,0.115
MO,94,10,0.106
SD,33,3,0.091
LA,79,7,0.089
KY,86,7,0.081
TN,88,7,0.08
UT,38,3,0.079
NV,26,2,0.077
WA,78,6,0.077
WV,40,3,0.075
IL,162,12,0.074
AR,59,4,0.068
MA,59,4,0.068
KS,92,6,0.065
ME,31,2,0.065
NE,63,4,0.063
GA,115,7,0.061
CO,67,4,0.06
IA,100,6,0.06
MN,108,6,0.056
WI,111,6,0.054
NY,153,8,0.052
OK,78,4,0.051
OR,59,3,0.051
PA,137,6,0.044
MI,116,5,0.043
MS,71,3,0.042
ND,25,1,0.04
FL,178,7,0.039
TX,263,10,0.038
MT,27,1,0.037
NM,29,1,0.034
CA,303,10,0.033
ID,32,1,0.031
NC,98,3,0.031
NJ,66,2,0.03
AL,80,2,0.025
OH,139,3,0.022
IN,99,2,0.02
SC,56,1,0.018
VA,83,1,0.012
CT,27,0,0.0
MD,44,0,0.0
